# theta1,theta2 in radians, 100 Hz
-1.1781415812,1.9339874175
-1.1781419312,1.9329777175
-1.1781422812,1.9319680175
-1.1781426312,1.9309583175
-1.1781429812,1.9299486175
-1.1781433312,1.9289389175
-1.1781436812,1.9279292175
-1.1781440312,1.9269195175
-1.1781443812,1.9259098175
-1.1781447312,1.9249001175
-1.1781450812,1.9238904175
-1.1781454312,1.9228807175
-1.1781457812,1.9218710175
-1.1781461312,1.9208613175
-1.1781464812,1.9198516175
-1.1781468312,1.9188419175
-1.1781471812,1.9178322175
-1.1781475312,1.9168225175
-1.1781478812,1.9158128175
-1.1781482312,1.9148031175
-1.1781485812,1.9137934175
-1.1781487917,1.9123809965
-1.1781490022,1.9109685754
-1.1781492128,1.9095561544
-1.1781494233,1.9081437333
-1.1781496338,1.9067313123
-1.1781498444,1.9053188912
-1.1781500549,1.9039064702
-1.1781502654,1.9024940491
-1.1781504759,1.9010816280
-1.1781506865,1.8996692070
-1.1781508970,1.8982567859
-1.1781511075,1.8968443649
-1.1781513180,1.8954319438
-1.1781515286,1.8940195228
-1.1781517391,1.8926071017
-1.1781519496,1.8911946807
-1.1781521601,1.8897822596
-1.1781523707,1.8883698386
-1.1781525812,1.8869574175
-1.1781800549,1.8854048912
-1.1782075286,1.8838523649
-1.1782350022,1.8822998386
-1.1782624759,1.8807473123
-1.1782899496,1.8791947859
-1.1783174233,1.8776422596
-1.1783448970,1.8760897333
-1.1783723707,1.8745372070
-1.1783998444,1.8729846807
-1.1784273180,1.8714321544
-1.1784547917,1.8698796280
-1.1784822654,1.8683271017
-1.1785097391,1.8667745754
-1.1785372128,1.8652220491
-1.1785646865,1.8636695228
-1.1785921601,1.8621169965
-1.1786196338,1.8605644702
-1.1786471075,1.8590119438
-1.1786745812,1.8574594175
-1.1787009312,1.8560425175
-1.1787272812,1.8546256175
-1.1787536312,1.8532087175
-1.1787799812,1.8517918175
-1.1788063312,1.8503749175
-1.1788326812,1.8489580175
-1.1788590312,1.8475411175
-1.1788853812,1.8461242175
-1.1789117312,1.8447073175
-1.1789380812,1.8432904175
-1.1789644312,1.8418735175
-1.1789907812,1.8404566175
-1.1790171312,1.8390397175
-1.1790434812,1.8376228175
-1.1790698312,1.8362059175
-1.1790961812,1.8347890175
-1.1791225312,1.8333721175
-1.1791488812,1.8319552175
-1.1791752312,1.8305383175
-1.1792015812,1.8291214175
-1.1792028970,1.8276040491
-1.1792042128,1.8260866807
-1.1792055286,1.8245693123
-1.1792068444,1.8230519438
-1.1792081601,1.8215345754
-1.1792094759,1.8200172070
-1.1792107917,1.8184998386
-1.1792121075,1.8169824702
-1.1792134233,1.8154651017
-1.1792147391,1.8139477333
-1.1792160549,1.8124303649
-1.1792173707,1.8109129965
-1.1792186865,1.8093956280
-1.1792200022,1.8078782596
-1.1792213180,1.8063608912
-1.1792226338,1.8048435228
-1.1792239496,1.8033261544
-1.1792252654,1.8018087859
-1.1792265812,1.8002914175
-1.1792266865,1.7986685228
-1.1792267917,1.7970456280
-1.1792268970,1.7954227333
-1.1792270022,1.7937998386
-1.1792271075,1.7921769438
-1.1792272128,1.7905540491
-1.1792273180,1.7889311544
-1.1792274233,1.7873082596
-1.1792275286,1.7856853649
-1.1792276338,1.7840624702
-1.1792277391,1.7824395754
-1.1792278444,1.7808166807
-1.1792279496,1.7791937859
-1.1792280549,1.7775708912
-1.1792281601,1.7759479965
-1.1792282654,1.7743251017
-1.1792283707,1.7727022070
-1.1792284759,1.7710793123
-1.1792285812,1.7694564175
-1.1792286812,1.7678784675
-1.1792287812,1.7663005175
-1.1792288812,1.7647225675
-1.1792289812,1.7631446175
-1.1792290812,1.7615666675
-1.1792291812,1.7599887175
-1.1792292812,1.7584107675
-1.1792293812,1.7568328175
-1.1792294812,1.7552548675
-1.1792295812,1.7536769175
-1.1792296812,1.7520989675
-1.1792297812,1.7505210175
-1.1792298812,1.7489430675
-1.1792299812,1.7473651175
-1.1792300812,1.7457871675
-1.1792301812,1.7442092175
-1.1792302812,1.7426312675
-1.1792303812,1.7410533175
-1.1792304812,1.7394753675
-1.1792305812,1.7378974175
-1.1792306865,1.7360578386
-1.1792307917,1.7342182596
-1.1792308970,1.7323786807
-1.1792310022,1.7305391017
-1.1792311075,1.7286995228
-1.1792312128,1.7268599438
-1.1792313180,1.7250203649
-1.1792314233,1.7231807859
-1.1792315286,1.7213412070
-1.1792316338,1.7195016280
-1.1792317391,1.7176620491
-1.1792318444,1.7158224702
